Age,CO2,Temperature
-72.0,418.53,0.8933333333333333
-71.0,416.41,0.8766666666666667
-71.0,415.31,0.86
-70.0,414.21,0.9450000000000001
-70.0,413.3566666666666,1.03
-69.0,412.50333333333333,0.97
-69.0,411.65,0.9099999999999999
-68.0,410.185,0.85
-68.0,408.72,0.88
-67.0,406.76,0.9099999999999999
-67.0,405.58500000000004,0.94
-66.0,404.41,0.99
-66.0,402.71000000000004,1.04
-65.0,401.01,0.9650000000000001
-65.0,399.90999999999997,0.89
-64.0,398.81,0.825
-64.0,398.12,0.76
-63.0,397.43,0.68
-63.0,396.74,0.6766666666666667
-62.0,394.06,0.6733333333333333
-62.0,392.95500000000004,0.67
-61.0,391.85,0.65
-61.0,391.2666666666667,0.63
-60.0,390.68333333333334,0.75
-60.0,390.1,0.72
-59.0,387.64,0.6900000000000001
-59.0,387.03666666666663,0.66
-58.0,386.43333333333334,0.54
-58.0,385.83,0.605
-57.0,384.92499999999995,0.67
-57.0,384.02,0.66
-56.0,383.05499999999995,0.65
-56.0,382.09,1.843662902674775
-55.1031343465804,381.03499999999997,3.03732580534955
-55.0,379.98,1.868662902674775
-55.0,378.84000000000003,0.7
-54.0,377.7,0.625
-54.0,377.27,0.55
-53.3047973627538,376.84000000000003,3.03193413122155
-53.0,376.41,0.62
-53.0,375.98,0.6233333333333333
-52.0,373.45,0.6266666666666667
-52.0,371.63333100066234,0.63
-51.5003375017823,369.81666200132463,2.43646251761657
-51.02999999999997,367.999993001987,1.9623468882124278
-51.02999999999997,368.0449828028473,1.488231258808285
-51.0,371.32,1.0141156294041425
-51.0,370.515,0.54
-50.0,369.71,0.49
-50.0,369.32,0.44
-49.6897763615003,368.93,1.27592055665255
-49.0,368.54,0.842960278326275
-49.0,367.97333333333336,0.41
-48.0,367.40666666666664,0.63
-48.0,366.84,0.621284757318404
-48.0,361.78073658846415,0.612569514636808
-47.873135502289,362.4804910589761,0.603854271955212
-47.0,363.18024552948805,0.49
-47.0,363.88,0.499131462744852
-46.5,359.5,0.508262925489704
-46.27927212999998,359.64864438559124,0.517394388234556
-46.27927212999998,359.6749879681196,0.526525850979408
-46.27927212999998,359.61974719554144,0.53565731372426
-46.0504364470765,360.6598314636943,0.544788776469112
-46.0,361.69991573184717,0.36
-46.0,362.74,0.425
-45.0,361.855,0.49
-45.0,360.97,0.5156459931431673
-44.5,356.9,0.5412919862863346
-44.40564212000004,356.9584375140511,0.5669379794295019
-44.40564212000004,357.02395565685794,0.5925839725726691
-44.40564212000004,357.3525256572212,0.6182299657158364
-44.40564212000004,357.09203996921576,0.6438759588590037
-44.2217006813378,357.7146933128105,0.669521952002171
-44.0,358.33734665640526,0.31
-44.0,358.96,0.3025
-43.07999999999993,353.58074037458414,0.29500000000000004
-43.07999999999993,354.31263029324,0.28750000000000003
-43.0,355.76131514661995,0.28
-43.0,357.21,0.41531797427269534
-42.40000000000009,353.6,0.5506359485453907
-42.3869496530948,353.6253848705594,0.685953922818086
-42.313517060000095,353.65076974111884,0.609961602348405
-42.313517060000095,353.65940860907494,0.533969281878724
-42.313517060000095,353.73035113477164,0.457976961409043
-42.313517060000095,353.8564137720475,0.38198464093936196
-42.0,356.54,0.30599232046968095
-42.0,354.43526829210725,0.23
-41.134816709999996,352.3305365842145,0.28
-41.134816709999996,352.5020802552528,0.33
-41.0,355.7,0.38
-41.0,354.4100818562268,0.43
-40.5462047729163,353.12016371245363,0.647005062780551
-40.53655942,351.8302455686804,0.5485025313902755
-40.0,353.1401227843402,0.45
-40.0,354.45,0.433
-39.97139973000003,350.7181907449942,0.41600000000000004
-39.97139973000003,351.13830684610946,0.399
-39.97139973000003,350.569459131815,0.382
-39.799999999999955,349.7,0.365
-39.407967809999946,349.7756872053048,0.34800000000000003
-39.407967809999946,350.04560223019763,0.331
-39.407967809999946,349.58381092885685,0.31400000000000006
-39.407967809999946,349.7959810737173,0.29700000000000004
-39.0,351.49799053685865,0.28
-39.0,353.2,0.33115576201178476
-38.966334940000024,349.0230955012693,0.3823115240235695
-38.966334940000024,349.53373379799166,0.4334672860353543
-38.6994874139179,348.5655697046616,0.484623048047139
-38.06951193000009,347.59740561133145,0.463082032031426
-38.0,351.69,0.441541016015713
-38.0,348.5656030018812,0.42
-37.20859160000009,345.44120600376243,0.37
-37.0,347.37560300188125,0.32
-37.0,349.31,0.4888445868395275
-36.846818911762,346.9082600373108,0.657689173679055
-36.616016200000104,344.5065200746217,0.5951621488677614
-36.616016200000104,345.1368764254465,0.5326351240564678
-36.616016200000104,344.97480308074086,0.47010809924517427
-36.616016200000104,344.2528748730704,0.4075810744338807
-36.14322833999995,344.2843518816444,0.3450540496225871
-36.14322833999995,343.663001641546,0.28252702481129355
-36.0,345.636500820773,0.22
-36.0,347.61,0.21166666666666667
-35.76218001999996,343.6443869753662,0.20333333333333334
-35.76218001999996,342.88471042323806,0.195
-35.76218001999996,342.80315875214,0.18666666666666668
-35.0,346.35,0.17833333333333334
-35.0,345.07687936323447,0.17
-34.9882205646581,343.8037587264689,0.25972564764127
-34.916752950000046,342.53063808970336,0.2472942357309525
-34.916752950000046,341.5733147227089,0.234862823820635
-34.0,344.87,0.22243141191031748
-34.0,343.03499999999997,0.21
-33.700000000000045,341.2,0.15017109770519665
-33.1237136333624,341.39133191911685,0.0903421954103933
-33.07684986999993,341.5826638382337,0.12743616749462283
-33.07684986999993,341.15135254539393,0.16453013957885237
-33.07684986999993,341.16119788310215,0.2016241116630819
-33.07684986999993,341.42197270968006,0.2387180837473114
-33.02591865999989,339.5152084091837,0.27581205583154095
-33.02591865999989,339.4057686335115,0.3129060279157705
-33.0,341.2778843167557,0.35
-33.0,343.15,0.26
-32.0,342.315,0.17
-32.0,341.48,0.2422359545841395
-31.253319341178,341.0266666666667,0.314471909168279
-31.0,340.5733333333333,0.34
-31.0,340.12,0.32666666666666666
