Age,CO2,Temperature,CH4,Year,Population(bn)
-71.0,416.7633333333333,0.9025,1887.105,2021.0,7.909
-71.0,416.41,0.9450000000000001,1883.0175,2021.0,7.8953999999999995
-70.0,415.6766666666667,0.9875,1878.93,2020.0,7.8818
-70.0,414.9433333333333,1.03,1876.46,2020.0,7.8682
-70.0,414.21,1.02,1873.99,2020.0,7.8546000000000005
-70.0,413.57,1.01,1871.52,2020.0,7.841
-69.0,412.92999999999995,1.0,1869.05,2019.0,7.765
-69.0,412.28999999999996,0.99,1866.58,2019.0,7.7488
-69.0,411.65,0.98,1865.0383333333332,2019.0,7.7326
-69.0,410.9175,0.97,1863.4966666666667,2019.0,7.7164
-68.0,410.185,0.85,1861.955,2018.0,7.7002
-68.0,409.4525,0.868,1860.4133333333332,2018.0,7.684
-68.0,408.72,0.886,1858.8716666666667,2018.0,7.67
-68.0,408.23,0.9039999999999999,1857.33,2018.0,7.656
-67.0,407.74,0.9219999999999999,1849.58,2017.0,7.6419999999999995
-67.0,407.25,0.94,1847.965,2017.0,7.628
-67.0,406.76,0.96,1846.35,2017.0,7.614
-67.0,406.29,0.98,1844.735,2017.0,7.6
-66.0,405.82,1.0,1843.12,2016.0,7.5565
-66.0,405.35,1.02,1840.905,2016.0,7.513
-66.0,404.88,1.04,1838.69,2016.0,7.4915
-66.0,404.41,1.0025,1836.475,2016.0,7.47
-65.0,403.56,0.9650000000000001,1834.26,2015.0,7.448499999999999
-65.0,402.71000000000004,0.9275,1833.5627511827242,2015.0,7.427
-65.0,401.86,0.89,1832.8655023654485,2015.0,7.412333333333333
-65.0,401.01,0.8466666666666667,1832.1682535481727,2015.0,7.397666666666667
-64.0,400.57,0.8033333333333333,1831.471004730897,2014.0,7.383
-64.0,400.13,0.76,1827.0005023654485,2014.0,7.368333333333333
-64.0,399.69,0.74,1822.53,2014.0,7.353666666666667
-64.0,399.25,0.72,1820.255,2014.0,7.339
-64.0,398.81,0.7000000000000001,1817.98,2014.0,7.317
-63.0,398.396,0.68,1815.705,2013.0,7.295
-63.0,397.982,0.6783333333333333,1813.43,2013.0,7.273000000000001
-63.0,397.568,0.6766666666666667,1818.0054242574865,2013.0,7.251
-63.0,397.154,0.675,1822.5808485149728,2013.0,7.238285714285714
-63.0,396.74,0.6733333333333333,1818.921041409451,2013.0,7.2255714285714285
-62.0,396.07,0.6716666666666667,1815.261234303929,2012.0,7.212857142857143
-62.0,395.4,0.67,1811.6906171519645,2012.0,7.200142857142858
-62.0,394.73,0.665,1808.12,2012.0,7.187428571428572
-62.0,394.06,0.66,1809.1100409330163,2012.0,7.174714285714286
-62.0,392.95500000000004,0.655,1810.1000818660327,2012.0,7.162
-61.0,391.85,0.65,1811.0901227990494,2011.0,7.1175
-61.0,391.65555555555557,0.645,1812.0801637320658,2011.0,7.073
-61.0,391.4611111111111,0.64,1813.0702046650822,2011.0,7.0512500000000005
-61.0,391.2666666666667,0.635,1803.14,2011.0,7.0295000000000005
-61.0,391.07222222222225,0.63,1804.7102261625141,2011.0,7.00775
-60.0,390.8777777777778,0.66,1806.280452325028,2010.0,6.986
-60.0,390.68333333333334,0.69,1807.850678487542,2010.0,6.975
-60.0,390.48888888888894,0.72,1798.91,2010.0,6.9639999999999995
-60.0,390.2944444444445,0.75,1797.1133333333335,2010.0,6.952999999999999
-60.0,390.1,0.72,1795.3166666666666,2010.0,6.942
-59.0,389.28000000000003,0.6900000000000001,1793.52,2009.0,6.931
-59.0,388.46,0.66,1795.6652949599725,2009.0,6.92
-59.0,387.64,0.64,1797.8105899199452,2009.0,6.909
-59.0,387.1875,0.62,1799.955884879918,2009.0,6.898
-59.0,386.735,0.6000000000000001,1802.1011798398904,2009.0,6.8808
-58.0,386.28249999999997,0.5800000000000001,1787.01,2008.0,6.8636
-58.0,385.83,0.56,1789.8624120118895,2008.0,6.8464
-58.0,385.60375,0.54,1792.7148240237793,2008.0,6.8292
-58.0,385.3775,0.5833333333333334,1795.5672360356689,2008.0,6.812
-58.0,385.15125,0.6266666666666667,1798.4196480475584,2008.0,6.783333333333333
-57.0,384.92499999999995,0.67,1795.2635358017199,2007.0,6.754666666666667
-57.0,384.69874999999996,0.6677777777777778,1792.1074235558813,2007.0,6.726
-57.0,384.47249999999997,0.6655555555555556,1788.9513113100427,2007.0,6.70475
-57.0,384.24625,0.6633333333333333,1781.38,2007.0,6.6835
-57.0,384.02,0.6611111111111111,1782.060410789189,2007.0,6.66225
-56.0,383.37666666666667,0.658888888888889,1782.7408215783778,2006.0,6.641
-56.0,382.7333333333333,0.6566666666666667,1783.4212323675667,2006.0,6.627166666666667
-56.0,382.09,0.6544444444444445,1779.1806161837835,2006.0,6.613333333333333
-56.0,381.7885714285714,0.6522222222222223,1774.94,2006.0,6.5995
-56.0,381.4871428571428,0.65,1774.7450000000001,2006.0,6.585666666666667
-55.1031343465804,381.18571428571425,3.03732580534955,1774.5500000000002,2005.1031343465804,6.571833333333333
-55.0,380.88428571428574,2.56986064427964,1774.355,2005.0,6.558
-55.0,380.58285714285716,2.10239548320973,1774.16,2005.0,6.54775
-55.0,380.2814285714286,1.63493032213982,1783.3604149609464,2005.0,6.5375
-55.0,379.98,1.1674651610699098,1781.7828112207098,2005.0,6.5272499999999996
-55.0,378.84000000000003,0.7,1780.2052074804733,2005.0,6.5169999999999995
-54.0,377.7,0.6699999999999999,1778.6276037402365,2004.0,6.50675
