Age,CO2
-72.0,418.53
-71.0,416.41
-70.0,414.21
-69.0,411.65
-68.0,408.72
-67.0,406.76
-66.0,404.41
-65.0,401.01
-64.0,398.81
-63.0,396.74
-62.0,394.06
-61.0,391.85
-60.0,390.1
-59.0,387.64
-58.0,385.83
-57.0,384.02
-56.0,382.09
-55.0,379.98
-54.0,377.7
-53.0,375.98
-52.0,373.45
-51.02999999999997,368.0449828028473
-51.02999999999997,367.999993001987
-51.0,371.32
-50.0,369.71
-49.0,368.54
-48.0,366.84
-48.0,361.78073658846415
-47.0,363.88
-46.5,359.5
-46.27927212999998,359.64864438559124
-46.27927212999998,359.6749879681196
-46.27927212999998,359.61974719554144
-46.0,362.74
-45.0,360.97
-44.5,356.9
-44.40564212000004,356.9584375140511
-44.40564212000004,357.02395565685794
-44.40564212000004,357.3525256572212
-44.40564212000004,357.09203996921576
-44.0,358.96
-43.07999999999993,354.31263029324
-43.07999999999993,353.58074037458414
-43.0,357.21
-42.40000000000009,353.6
-42.313517060000095,353.73035113477164
-42.313517060000095,353.65940860907494
-42.313517060000095,353.65076974111884
-42.313517060000095,353.8564137720475
-42.0,356.54
-41.134816709999996,352.3305365842145
-41.134816709999996,352.5020802552528
-41.0,355.7
-40.53655942,351.8302455686804
-40.0,354.45
-39.97139973000003,350.569459131815
-39.97139973000003,350.7181907449942
-39.97139973000003,351.13830684610946
-39.799999999999955,349.7
-39.407967809999946,350.04560223019763
-39.407967809999946,349.58381092885685
-39.407967809999946,349.7756872053048
-39.407967809999946,349.7959810737173
-39.0,353.2
-38.966334940000024,349.0230955012693
-38.966334940000024,349.53373379799166
-38.06951193000009,347.59740561133145
-38.0,351.69
-37.20859160000009,345.44120600376243
-37.0,349.31
-36.616016200000104,345.1368764254465
-36.616016200000104,344.97480308074086
-36.616016200000104,344.5065200746217
-36.616016200000104,344.2528748730704
-36.14322833999995,344.2843518816444
-36.14322833999995,343.663001641546
-36.0,347.61
-35.76218001999996,343.6443869753662
-35.76218001999996,342.88471042323806
-35.76218001999996,342.80315875214
-35.0,346.35
-34.916752950000046,342.53063808970336
-34.916752950000046,341.5733147227089
-34.0,344.87
-33.700000000000045,341.2
-33.07684986999993,341.42197270968006
-33.07684986999993,341.16119788310215
-33.07684986999993,341.5826638382337
-33.07684986999993,341.15135254539393
-33.02591865999989,339.5152084091837
-33.02591865999989,339.4057686335115
-33.0,343.15
-32.0,341.48
-31.0,340.12
-30.0,338.76
-29.14258988000006,334.4715372134238
-29.14258988000006,335.2255738516231
-29.0,336.84
-28.0,335.41
-27.0,333.84
-26.796750369999927,335.54695345792317
-26.67036968000002,332.3689555204767
-26.0,332.03
-25.570921230000067,332.3656863259178
-25.0,331.13
-24.133413320000045,331.54980566810485
-24.0,330.19
-23.0,329.68
-23.0,326.4
-23.0,329.2
-22.088334380000106,328.41588801232757
-22.041017810000085,330.3504422217994
-22.0,327.46
-21.0,326.32
-20.872681979999925,326.3093257445175
-20.65630200999999,326.6491948420144
-20.637150239999983,324.7998256800508
-20.637150239999983,325.0382094229711
-20.637150239999983,324.8810194360893
-20.637150239999983,324.90492011289086
-20.22168347999991,324.5570616692709
-20.0,325.68
-20.0,324.8
-19.423218019999922,323.87467047016156
-19.42203954999991,325.5374446835465
-19.0,324.62
-18.98437082999999,325.07717594979096
-18.813869489999888,324.08551736938495
-18.53874855999993,320.38065078205506
-18.0,323.05
-17.0,322.9
-17.0,322.18
-16.78904407999994,320.4923553617883
-16.54523532999997,322.1747797142201
-16.0,321.37
-15.866011569999955,320.98156635342656
-15.297878110000056,319.1950596158425
-15.226349230000096,319.8929363220089
-15.0,320.04
-14.0,319.0
-14.0,319.62
-13.564495589999979,319.12347301713646
-13.200018279999995,319.06606441856763
-13.0,318.99
-12.6152798600001,317.44606695465427
-12.6152798600001,319.77605827448537
-12.542091540000001,317.4481354802273
-12.395341090000102,319.1381732232432
-12.321916399999964,317.5216280215933
-12.0,318.45
-11.71589999999992,316.59261011941027
-11.0,317.64
-10.568661719999909,318.20658038167187
-10.31404479999992,313.0933880516286
-10.0,316.91
-9.092695849999927,311.98389241638387
-9.0,315.98
-9.0,316.3
-8.56297111999993,316.3340200101121
-8.102785849999918,316.1014028920352
-8.0,314.4
-7.872424290000026,314.57216625352925
-7.257538840000052,315.2703546298443
-7.203373640000109,316.43892736076845
-7.203373640000109,316.2928012972935
-7.203373640000109,316.2425742358726
-7.203373640000109,316.3272178354802
-7.103747099999964,314.63773267233756
-7.103747099999964,314.23638292143335
-7.0,314.0
-6.157200000000103,314.4552794500995
-6.157200000000103,315.5358065293993
-6.157200000000103,316.0351357655792
-6.099999999999909,316.3
-5.0,313.5
-5.0,313.8
-4.795964650000087,314.8253417001523
-4.795964650000087,314.6025809876587
-4.0,311.7
-3.791544359999989,313.1710570119369
-3.7139373699999396,312.8003637775662
-3.5585613600001125,312.7532516171712
-3.5585613600001125,311.6922300483932
-3.0,312.1
-2.3839181700000154,312.1844627182946
-0.25090000000000146,312.0017776102837
0.0,312.6
0.33152825999991364,313.6602846482332
1.0,311.2
1.225945319999937,309.6939936066409
2.0,310.5
2.2935130999999274,311.57094999761165
3.0,311.5
3.0,310.0
3.0,310.8
3.3366031699999894,310.36290017732523
3.3731399599998895,313.21174406076346
3.3731399599998895,312.52098023210357
4.0,311.5
4.38416084000005,312.5596867804179
4.442779830000063,311.9671347125998
4.6126112699998885,311.8114965345337
5.0,309.7
5.037190190000047,310.440204448011
5.2356770799999595,311.2775834649954
5.490957340000023,310.224309572614
6.0,311.4
6.0,312.1
